Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Edit_Product_Suite,Chrome 73.0.3683.103,,2019-04-30 15:58:26,2019-04-30 15:59:50,1m - 23.570s,PASSED
,,,,,,
Test Cases/Edit_Product/Edit_product_fields,Chrome 73.0.3683.103,,2019-04-30 15:58:27,2019-04-30 15:59:11,44.778s,PASSED
openBrowser,Chrome 73.0.3683.103,,2019-04-30 15:58:27,2019-04-30 15:58:31,3.416s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-30 15:58:31,2019-04-30 15:58:47,15.968s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-30 15:58:47,2019-04-30 15:58:50,3.039s,PASSED
reusable.loginBugZillaUI.login,Chrome 73.0.3683.103,,2019-04-30 15:58:50,2019-04-30 15:58:51,1.091s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-30 15:58:51,2019-04-30 15:58:57,6.002s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Dashboard/span_Dashboard), 0))",Chrome 73.0.3683.103,,2019-04-30 15:58:57,2019-04-30 15:58:59,2.445s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-04-30 15:58:59,2019-04-30 15:59:02,2.616s,PASSED
reusable.editPage.selectProduct,Chrome 73.0.3683.103,,2019-04-30 15:59:02,2019-04-30 15:59:09,7.094s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-04-30 15:59:09,2019-04-30 15:59:09,0.035s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-04-30 15:59:09,2019-04-30 15:59:09,0.027s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-04-30 15:59:09,2019-04-30 15:59:09,0.031s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementNotClickable(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Edit Product/button_update_product))),Chrome 73.0.3683.103,,2019-04-30 15:59:09,2019-04-30 15:59:09,0.097s,PASSED
scrollToElement,Chrome 73.0.3683.103,,2019-04-30 15:59:09,2019-04-30 15:59:09,0.128s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-04-30 15:59:09,2019-04-30 15:59:09,0.039s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-04-30 15:59:09,2019-04-30 15:59:09,0.031s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-04-30 15:59:09,2019-04-30 15:59:09,0.045s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-04-30 15:59:09,2019-04-30 15:59:09,0.045s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-04-30 15:59:09,2019-04-30 15:59:09,0.051s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-04-30 15:59:09,2019-04-30 15:59:09,0.036s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-30 15:59:09,2019-04-30 15:59:11,2.002s,PASSED
,,,,,,
Test Cases/Edit_Product/verify_values_prepopulated,Chrome 73.0.3683.103,,2019-04-30 15:59:12,2019-04-30 15:59:14,2.968s,PASSED
scrollToElement,Chrome 73.0.3683.103,,2019-04-30 15:59:12,2019-04-30 15:59:12,0.089s,PASSED
"Statement - productName = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Edit Product/input_newName), ""value"")",Chrome 73.0.3683.103,,2019-04-30 15:59:12,2019-04-30 15:59:12,0.105s,PASSED
"Statement - productDescription = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Edit Product/textarea_description), ""value"")",Chrome 73.0.3683.103,,2019-04-30 15:59:12,2019-04-30 15:59:12,0.047s,PASSED
"Statement - If (productName.equals(""1-Auto-edit""))",Chrome 73.0.3683.103,,2019-04-30 15:59:12,2019-04-30 15:59:12,0.003s,PASSED
Statement - If (!(productDescription.isEmpty())),Chrome 73.0.3683.103,,2019-04-30 15:59:12,2019-04-30 15:59:12,0.002s,PASSED
verifyElementNotClickable,Chrome 73.0.3683.103,,2019-04-30 15:59:12,2019-04-30 15:59:12,0.060s,PASSED
"Statement - unkownComponentName = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Edit Product/unknown_Component), ""value"")",Chrome 73.0.3683.103,,2019-04-30 15:59:12,2019-04-30 15:59:12,0.041s,PASSED
"Statement - If (unkownComponentName.equals(""Unknown""))",Chrome 73.0.3683.103,,2019-04-30 15:59:12,2019-04-30 15:59:12,0.001s,PASSED
"Statement - unkownComponentDesc = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Edit Product/unkown_description), ""value"")",Chrome 73.0.3683.103,,2019-04-30 15:59:12,2019-04-30 15:59:12,0.064s,PASSED
"Statement - unkownComponentDefaultAsignee = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Edit Product/unkown_defaultAssignee), ""value"")",Chrome 73.0.3683.103,,2019-04-30 15:59:12,2019-04-30 15:59:12,0.101s,PASSED
Statement - If (!(unkownComponentDesc.isEmpty()) && !(unkownComponentDefaultAsignee.isEmpty())),Chrome 73.0.3683.103,,2019-04-30 15:59:12,2019-04-30 15:59:12,0.002s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-30 15:59:12,2019-04-30 15:59:14,2.001s,PASSED
,,,,,,
Test Cases/Edit_Product/default_UnknownComponent,Chrome 73.0.3683.103,,2019-04-30 15:59:14,2019-04-30 15:59:34,19.740s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Edit Product/delete_icon_unknownCompnent), 0))",Chrome 73.0.3683.103,,2019-04-30 15:59:15,2019-04-30 15:59:15,0.143s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-30 15:59:15,2019-04-30 15:59:17,2.003s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Edit Product/confirmDeleteProduct_popup), 0))",Chrome 73.0.3683.103,,2019-04-30 15:59:17,2019-04-30 15:59:17,0.203s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-30 15:59:17,2019-04-30 15:59:19,2.002s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Edit Product/div_Product must have at least), 0))",Chrome 73.0.3683.103,,2019-04-30 15:59:19,2019-04-30 15:59:19,0.142s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-30 15:59:19,2019-04-30 15:59:22,3.002s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Edit Product/update_icon_unknownComponent), 0))",Chrome 73.0.3683.103,,2019-04-30 15:59:22,2019-04-30 15:59:22,0.226s,PASSED
clearText,Chrome 73.0.3683.103,,2019-04-30 15:59:22,2019-04-30 15:59:23,0.087s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-30 15:59:23,2019-04-30 15:59:23,0.260s,PASSED
clearText,Chrome 73.0.3683.103,,2019-04-30 15:59:23,2019-04-30 15:59:23,0.109s,PASSED
setText,Chrome 73.0.3683.103,,2019-04-30 15:59:23,2019-04-30 15:59:23,0.311s,PASSED
click,Chrome 73.0.3683.103,,2019-04-30 15:59:23,2019-04-30 15:59:23,0.093s,PASSED
