Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login_suite,Chrome 73.0.3683.103,,2019-05-04 11:27:40,2019-05-04 11:28:34,53.488s,PASSED
,,,,,,
Test Cases/Login/Bugzilla-LoginPage-Loads,Chrome 73.0.3683.103,,2019-05-04 11:27:41,2019-05-04 11:28:07,26.296s,PASSED
openBrowser,Chrome 73.0.3683.103,,2019-05-04 11:27:41,2019-05-04 11:27:44,3.178s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-05-04 11:27:44,2019-05-04 11:27:59,15.007s,PASSED
delay,Chrome 73.0.3683.103,,2019-05-04 11:27:59,2019-05-04 11:28:03,4.045s,PASSED
maximizeWindow,Chrome 73.0.3683.103,,2019-05-04 11:28:03,2019-05-04 11:28:04,0.177s,PASSED
delay,Chrome 73.0.3683.103,,2019-05-04 11:28:04,2019-05-04 11:28:06,2.004s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-05-04 11:28:06,2019-05-04 11:28:06,0.124s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-05-04 11:28:06,2019-05-04 11:28:06,0.055s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-05-04 11:28:06,2019-05-04 11:28:06,0.053s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI/label_rememberMe)).equals(""Remember me""))",Chrome 73.0.3683.103,,2019-05-04 11:28:06,2019-05-04 11:28:06,0.143s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementNotClickable(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI/button_Login))),Chrome 73.0.3683.103,,2019-05-04 11:28:06,2019-05-04 11:28:06,0.085s,PASSED
closeBrowser,Chrome 73.0.3683.103,,2019-05-04 11:28:06,2019-05-04 11:28:07,0.873s,PASSED
,,,,,,
Test Cases/Login/Valid_Login,Chrome 73.0.3683.103,,2019-05-04 11:28:07,2019-05-04 11:28:34,26.568s,PASSED
openBrowser,Chrome 73.0.3683.103,,2019-05-04 11:28:07,2019-05-04 11:28:09,1.596s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-05-04 11:28:09,2019-05-04 11:28:22,12.943s,PASSED
delay,Chrome 73.0.3683.103,,2019-05-04 11:28:22,2019-05-04 11:28:27,5.004s,PASSED
maximizeWindow,Chrome 73.0.3683.103,,2019-05-04 11:28:27,2019-05-04 11:28:27,0.162s,PASSED
delay,Chrome 73.0.3683.103,,2019-05-04 11:28:27,2019-05-04 11:28:29,2.004s,PASSED
setText,Chrome 73.0.3683.103,,2019-05-04 11:28:29,2019-05-04 11:28:29,0.258s,PASSED
setText,Chrome 73.0.3683.103,,2019-05-04 11:28:29,2019-05-04 11:28:29,0.258s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementClickable(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI/button_Login))),Chrome 73.0.3683.103,,2019-05-04 11:28:29,2019-05-04 11:28:30,0.196s,PASSED
delay,Chrome 73.0.3683.103,,2019-05-04 11:28:30,2019-05-04 11:28:33,3.003s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Dashboard/span_Dashboard), 0))",Chrome 73.0.3683.103,,2019-05-04 11:28:33,2019-05-04 11:28:33,0.055s,PASSED
closeBrowser,Chrome 73.0.3683.103,,2019-05-04 11:28:33,2019-05-04 11:28:34,0.846s,PASSED
