Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Product_Add_Suite,Chrome 73.0.3683.103,,2019-04-22 15:08:29,2019-04-22 15:09:36,1m - 6.827s,FAILED
,,,,,,
Test Cases/Add_Product/AddProductFields_verification,Chrome 73.0.3683.103,,2019-04-22 15:08:31,2019-04-22 15:09:14,43.663s,PASSED
openBrowser,Chrome 73.0.3683.103,,2019-04-22 15:08:31,2019-04-22 15:08:35,3.971s,PASSED
navigateToUrl,Chrome 73.0.3683.103,,2019-04-22 15:08:35,2019-04-22 15:08:47,11.151s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 15:08:47,2019-04-22 15:08:50,3.039s,PASSED
reusable.loginBugZillaUI.login,Chrome 73.0.3683.103,,2019-04-22 15:08:50,2019-04-22 15:08:51,1.596s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 15:08:51,2019-04-22 15:08:57,6.004s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Dashboard/span_Dashboard), 0))",Chrome 73.0.3683.103,,2019-04-22 15:08:57,2019-04-22 15:09:00,2.626s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-22 15:09:00,2019-04-22 15:09:03,3.002s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Add Product/span_Add Product), 0))",Chrome 73.0.3683.103,,2019-04-22 15:09:03,2019-04-22 15:09:03,0.035s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-04-22 15:09:03,2019-04-22 15:09:03,0.025s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-04-22 15:09:03,2019-04-22 15:09:03,0.025s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-04-22 15:09:03,2019-04-22 15:09:03,0.022s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-04-22 15:09:03,2019-04-22 15:09:03,0.029s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-04-22 15:09:03,2019-04-22 15:09:03,0.051s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-04-22 15:09:03,2019-04-22 15:09:03,0.031s,PASSED
verifyElementPresent,Chrome 73.0.3683.103,,2019-04-22 15:09:03,2019-04-22 15:09:03,0.025s,PASSED
