Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SmokeSuite,Chrome 74.0.3729.131,,2019-05-05 12:14:57,2019-05-05 12:18:04,3m - 6.651s,ERROR
,,,,,,
Test Cases/Login/Bugzilla-LoginPage-Loads,Chrome 74.0.3729.131,,2019-05-05 12:14:58,2019-05-05 12:14:58,0.489s,ERROR
,,,,,,
Test Cases/Login/Valid_Login,Chrome 74.0.3729.131,,2019-05-05 12:14:58,2019-05-05 12:14:59,0.329s,ERROR
,,,,,,
Test Cases/Add_Product/AddProductFields_verification,Chrome 74.0.3729.131,,2019-05-05 12:14:59,2019-05-05 12:15:37,38.273s,FAILED
openBrowser,Chrome 74.0.3729.131,,2019-05-05 12:14:59,2019-05-05 12:15:02,2.706s,PASSED
navigateToUrl,Chrome 74.0.3729.131,,2019-05-05 12:15:02,2019-05-05 12:15:14,12.179s,PASSED
delay,Chrome 74.0.3729.131,,2019-05-05 12:15:14,2019-05-05 12:15:17,3.024s,PASSED
reusable.loginBugZillaUI.login,Chrome 74.0.3729.131,,2019-05-05 12:15:17,2019-05-05 12:15:18,0.720s,PASSED
delay,Chrome 74.0.3729.131,,2019-05-05 12:15:18,2019-05-05 12:15:24,6.003s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Dashboard/span_Dashboard), 0))",Chrome 74.0.3729.131,,2019-05-05 12:15:24,2019-05-05 12:15:26,2.321s,PASSED
delay,Chrome 74.0.3729.131,,2019-05-05 12:15:26,2019-05-05 12:15:29,3.003s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Add Product/span_Add Product), 0))",Chrome 74.0.3729.131,,2019-05-05 12:15:29,2019-05-05 12:15:29,0.049s,PASSED
verifyElementPresent,Chrome 74.0.3729.131,,2019-05-05 12:15:29,2019-05-05 12:15:29,0.023s,PASSED
verifyElementPresent,Chrome 74.0.3729.131,,2019-05-05 12:15:29,2019-05-05 12:15:29,0.020s,PASSED
verifyElementPresent,Chrome 74.0.3729.131,,2019-05-05 12:15:29,2019-05-05 12:15:29,0.021s,PASSED
verifyElementPresent,Chrome 74.0.3729.131,,2019-05-05 12:15:29,2019-05-05 12:15:29,0.022s,PASSED
verifyElementPresent,Chrome 74.0.3729.131,,2019-05-05 12:15:29,2019-05-05 12:15:29,0.025s,PASSED
verifyElementPresent,Chrome 74.0.3729.131,,2019-05-05 12:15:29,2019-05-05 12:15:29,0.021s,PASSED
verifyElementPresent,Chrome 74.0.3729.131,,2019-05-05 12:15:29,2019-05-05 12:15:29,0.023s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementNotClickable(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Add Product/AddProduct_button))),Chrome 74.0.3729.131,,2019-05-05 12:15:29,2019-05-05 12:15:29,0.039s,PASSED
click,Chrome 74.0.3729.131,,2019-05-05 12:15:29,2019-05-05 12:15:30,0.084s,PASSED
delay,Chrome 74.0.3729.131,,2019-05-05 12:15:30,2019-05-05 12:15:32,2.003s,PASSED
click,Chrome 74.0.3729.131,,2019-05-05 12:15:32,2019-05-05 12:15:32,0.152s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-05 12:15:32,2019-05-05 12:15:32,0.238s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-05 12:15:32,2019-05-05 12:15:32,0.318s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-05 12:15:32,2019-05-05 12:15:32,0.086s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementNotClickable(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Add Product/AddProduct_button))),Chrome 74.0.3729.131,,2019-05-05 12:15:32,2019-05-05 12:15:32,0.022s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-05 12:15:32,2019-05-05 12:15:33,0.237s,PASSED
click,Chrome 74.0.3729.131,,2019-05-05 12:15:33,2019-05-05 12:15:33,0.625s,PASSED
delay,Chrome 74.0.3729.131,,2019-05-05 12:15:33,2019-05-05 12:15:35,2.003s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementClickable(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Add Product/AddProduct_button))),Chrome 74.0.3729.131,,2019-05-05 12:15:35,2019-05-05 12:15:35,0.063s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-05 12:15:35,2019-05-05 12:15:35,0.174s,PASSED
verifyElementPresent,Chrome 74.0.3729.131,,2019-05-05 12:15:35,2019-05-05 12:15:36,0.019s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementNotClickable(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Add Product/AddProduct_button))),Chrome 74.0.3729.131,,2019-05-05 12:15:36,2019-05-05 12:15:36,0.024s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-05 12:15:36,2019-05-05 12:15:36,0.225s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementClickable(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Add Product/AddProduct_button))),Chrome 74.0.3729.131,,2019-05-05 12:15:36,2019-05-05 12:15:36,0.023s,PASSED
clearText,Chrome 74.0.3729.131,,2019-05-05 12:15:36,2019-05-05 12:15:36,0.062s,PASSED
setText,Chrome 74.0.3729.131,,2019-05-05 12:15:36,2019-05-05 12:15:36,0.445s,PASSED
click,Chrome 74.0.3729.131,,2019-05-05 12:15:36,2019-05-05 12:15:37,0.487s,FAILED
,,,,,,
Test Cases/Add_Product/AddedProductAvailability,Chrome 74.0.3729.131,,2019-05-05 12:15:37,2019-05-05 12:15:45,8.157s,FAILED
delay,Chrome 74.0.3729.131,,2019-05-05 12:15:37,2019-05-05 12:15:40,3.003s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_BugsUI Dashboard/a_New Bug), 0))",Chrome 74.0.3729.131,,2019-05-05 12:15:40,2019-05-05 12:15:40,0.150s,PASSED
delay,Chrome 74.0.3729.131,,2019-05-05 12:15:40,2019-05-05 12:15:43,3.002s,PASSED
verifyElementPresent,Chrome 74.0.3729.131,,2019-05-05 12:15:43,2019-05-05 12:15:45,1.620s,FAILED
,,,,,,
