Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Edit_Product_Suite,Chrome 74.0.3729.131,,,2019-05-09 14:14:33,2019-05-09 14:16:56,2m - 22.476s,FAILED
,,,,,,,
Test Cases/Edit_Product/Edit_product_fields,Chrome 74.0.3729.131,,,2019-05-09 14:14:34,2019-05-09 14:15:31,56.992s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-09 14:14:35,2019-05-09 14:14:39,4.161s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-09 14:14:39,2019-05-09 14:15:05,26.438s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-09 14:15:05,2019-05-09 14:15:08,3.032s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-09 14:15:08,2019-05-09 14:15:09,0.164s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-09 14:15:09,2019-05-09 14:15:11,2.006s,PASSED
"setText(findTestObject(""Page_BugsUI/input_username""), ""knagendra-ext"")",Chrome 74.0.3729.131,,,2019-05-09 14:15:11,2019-05-09 14:15:11,0.358s,PASSED
"setText(findTestObject(""Page_BugsUI/input_password""), ""Kum1!@#$%^&*()ar"")",Chrome 74.0.3729.131,,,2019-05-09 14:15:11,2019-05-09 14:15:11,0.435s,PASSED
"if (verifyElementClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-09 14:15:11,2019-05-09 14:15:12,0.344s,PASSED
delay(4),Chrome 74.0.3729.131,,,2019-05-09 14:15:12,2019-05-09 14:15:16,4.003s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Dashboard/span_Dashboard""), 0))",Chrome 74.0.3729.131,,,2019-05-09 14:15:16,2019-05-09 14:15:18,2.671s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Edit Product/span_Edit Product""), 0)",Chrome 74.0.3729.131,,,2019-05-09 14:15:18,2019-05-09 14:15:22,3.103s,PASSED
reusable.editPage.selectProduct(),Chrome 74.0.3729.131,,,2019-05-09 14:15:22,2019-05-09 14:15:29,7.035s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Edit Product/input_newName""), 0)",Chrome 74.0.3729.131,,,2019-05-09 14:15:29,2019-05-09 14:15:29,0.020s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Edit Product/textarea_description""), 0)",Chrome 74.0.3729.131,,,2019-05-09 14:15:29,2019-05-09 14:15:29,0.067s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Edit Product/div_closed_for_bug_entry""), 0)",Chrome 74.0.3729.131,,,2019-05-09 14:15:29,2019-05-09 14:15:29,0.048s,PASSED
"if (verifyElementNotClickable(findTestObject(""Page_BugsUI Edit Product/button_update_product"")))",Chrome 74.0.3729.131,,,2019-05-09 14:15:29,2019-05-09 14:15:29,0.060s,PASSED
"scrollToElement(findTestObject(""Page_BugsUI Edit Product/button_Delete Product""), 2)",Chrome 74.0.3729.131,,,2019-05-09 14:15:29,2019-05-09 14:15:29,0.081s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Edit Product/div_Component Information""), 0)",Chrome 74.0.3729.131,,,2019-05-09 14:15:29,2019-05-09 14:15:29,0.049s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Edit Product/button_Refresh components""), 0)",Chrome 74.0.3729.131,,,2019-05-09 14:15:29,2019-05-09 14:15:29,0.032s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Edit Product/button_AddNewRow_Component""), 0)",Chrome 74.0.3729.131,,,2019-05-09 14:15:29,2019-05-09 14:15:29,0.062s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Edit Product/span_Version Information""), 0)",Chrome 74.0.3729.131,,,2019-05-09 14:15:29,2019-05-09 14:15:29,0.038s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Edit Product/button_Refresh versions""), 0)",Chrome 74.0.3729.131,,,2019-05-09 14:15:29,2019-05-09 14:15:29,0.068s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Edit Product/button_AddNewRow_version""), 0)",Chrome 74.0.3729.131,,,2019-05-09 14:15:29,2019-05-09 14:15:29,0.056s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-09 14:15:29,2019-05-09 14:15:31,2.000s,PASSED
,,,,,,,
Test Cases/Edit_Product/verify_values_prepopulated,Chrome 74.0.3729.131,,,2019-05-09 14:15:31,2019-05-09 14:15:34,2.686s,PASSED
"scrollToElement(findTestObject(""Page_BugsUI Edit Product/input_newName""), 1)",Chrome 74.0.3729.131,,,2019-05-09 14:15:31,2019-05-09 14:15:32,0.049s,PASSED
"productName = getAttribute(findTestObject(""Page_BugsUI Edit Product/input_newName""), ""value"")",Chrome 74.0.3729.131,,,2019-05-09 14:15:32,2019-05-09 14:15:32,0.044s,PASSED
"productDescription = getAttribute(findTestObject(""Page_BugsUI Edit Product/textarea_description""), ""value"")",Chrome 74.0.3729.131,,,2019-05-09 14:15:32,2019-05-09 14:15:32,0.061s,PASSED
"if (productName.equals(""1-Auto-edit""))",Chrome 74.0.3729.131,,,2019-05-09 14:15:32,2019-05-09 14:15:32,0.000s,PASSED
if (!(productDescription.isEmpty())),Chrome 74.0.3729.131,,,2019-05-09 14:15:32,2019-05-09 14:15:32,0.000s,PASSED
"verifyElementNotClickable(findTestObject(""Page_BugsUI Edit Product/unknown_Component""))",Chrome 74.0.3729.131,,,2019-05-09 14:15:32,2019-05-09 14:15:32,0.067s,PASSED
