Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeSuite,Chrome 74.0.3729.131,,,2019-05-06 10:11:02,2019-05-06 10:15:33,4m - 30.779s,PASSED
,,,,,,,
Test Cases/Login/Bugzilla-LoginPage-Loads,Chrome 74.0.3729.131,,,2019-05-06 10:11:03,2019-05-06 10:11:37,34.438s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-06 10:11:03,2019-05-06 10:11:08,4.498s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-06 10:11:08,2019-05-06 10:11:30,22.013s,PASSED
delay(4),Chrome 74.0.3729.131,,,2019-05-06 10:11:30,2019-05-06 10:11:34,4.063s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-06 10:11:34,2019-05-06 10:11:34,0.182s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 10:11:34,2019-05-06 10:11:36,2.014s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_username""), 0)",Chrome 74.0.3729.131,,,2019-05-06 10:11:36,2019-05-06 10:11:36,0.117s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_password""), 0)",Chrome 74.0.3729.131,,,2019-05-06 10:11:36,2019-05-06 10:11:36,0.038s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/checkbox_RememberMe""), 0)",Chrome 74.0.3729.131,,,2019-05-06 10:11:36,2019-05-06 10:11:36,0.044s,PASSED
"if (getText(findTestObject(""Page_BugsUI/label_rememberMe"")).equals(""Remember me""))",Chrome 74.0.3729.131,,,2019-05-06 10:11:36,2019-05-06 10:11:36,0.055s,PASSED
"if (verifyElementNotClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-06 10:11:36,2019-05-06 10:11:37,0.073s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,,2019-05-06 10:11:37,2019-05-06 10:11:37,0.792s,PASSED
,,,,,,,
Test Cases/Login/Valid_Login,Chrome 74.0.3729.131,,,2019-05-06 10:11:37,2019-05-06 10:12:05,27.404s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-06 10:11:38,2019-05-06 10:11:39,1.733s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-06 10:11:39,2019-05-06 10:11:53,13.766s,PASSED
delay(5),Chrome 74.0.3729.131,,,2019-05-06 10:11:53,2019-05-06 10:11:58,5.027s,PASSED
