Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CucumberSmoke,Chrome 74.0.3729.131,,,2019-05-14 17:16:10,2019-05-14 17:23:04,6m - 54.239s,PASSED
,,,,,,,
Test Cases/BDD Cucumber TestCases/BugzillaApplicationLoads,Chrome 74.0.3729.131,,,2019-05-14 17:16:11,2019-05-14 17:16:41,30.019s,PASSED
"runFeatureFile(""Include/features/BDD Cucumber Tests/Web UI Tests/Login/BugzillaApplicationLoads.feature"")",Chrome 74.0.3729.131,,,2019-05-14 17:16:11,2019-05-14 17:16:41,29.525s,PASSED
,,,,,,,
Test Cases/BDD Cucumber TestCases/ValidLogin,Chrome 74.0.3729.131,,,2019-05-14 17:16:41,2019-05-14 17:17:14,33.621s,PASSED
"runFeatureFile(""Include/features/BDD Cucumber Tests/Web UI Tests/Login/ValidLogin.feature"")",Chrome 74.0.3729.131,,,2019-05-14 17:16:41,2019-05-14 17:17:14,33.439s,PASSED
,,,,,,,
Test Cases/BDD Cucumber TestCases/NewProductAdd,Chrome 74.0.3729.131,,,2019-05-14 17:17:14,2019-05-14 17:18:05,50.582s,PASSED
"runFeatureFile(""Include/features/BDD Cucumber Tests/Web UI Tests/Product Add/AddProduct.feature"")",Chrome 74.0.3729.131,,,2019-05-14 17:17:14,2019-05-14 17:18:05,50.368s,PASSED
,,,,,,,
Test Cases/BDD Cucumber TestCases/AvailabilityOfAddedProduct,Chrome 74.0.3729.131,,,2019-05-14 17:18:05,2019-05-14 17:18:21,16.629s,PASSED
"runFeatureFile(""Include/features/BDD Cucumber Tests/Web UI Tests/Product Add/AvailabilityOfAddedProduct.feature"")",Chrome 74.0.3729.131,,,2019-05-14 17:18:05,2019-05-14 17:18:21,16.335s,PASSED
,,,,,,,
Test Cases/BDD Cucumber TestCases/DeleteAddedProduct,Chrome 74.0.3729.131,,,2019-05-14 17:18:21,2019-05-14 17:19:01,39.320s,PASSED
"runFeatureFile(""Include/features/BDD Cucumber Tests/Web UI Tests/Product Add/DeleteAddedProduct.feature"")",Chrome 74.0.3729.131,,,2019-05-14 17:18:22,2019-05-14 17:19:01,39.136s,PASSED
,,,,,,,
Test Cases/BDD Cucumber TestCases/EditProductFields,Chrome 74.0.3729.131,,,2019-05-14 17:19:01,2019-05-14 17:19:43,42.652s,PASSED
"runFeatureFile(""Include/features/BDD Cucumber Tests/Web UI Tests/Product Edit/EditProductFields.feature"")",Chrome 74.0.3729.131,,,2019-05-14 17:19:01,2019-05-14 17:19:43,42.513s,PASSED
,,,,,,,
Test Cases/BDD Cucumber TestCases/UpdateProduct,Chrome 74.0.3729.131,,,2019-05-14 17:19:43,2019-05-14 17:20:01,17.829s,PASSED
"runFeatureFile(""Include/features/BDD Cucumber Tests/Web UI Tests/Product Edit/UpdateProduct.feature"")",Chrome 74.0.3729.131,,,2019-05-14 17:19:44,2019-05-14 17:20:01,17.675s,PASSED
,,,,,,,
Test Cases/BDD Cucumber TestCases/NewBugCreation,Chrome 74.0.3729.131,,,2019-05-14 17:20:01,2019-05-14 17:20:48,47.126s,PASSED
"runFeatureFile(""Include/features/BDD Cucumber Tests/Web UI Tests/New Bug/NewBugCreation.feature"")",Chrome 74.0.3729.131,,,2019-05-14 17:20:01,2019-05-14 17:20:48,46.956s,PASSED
,,,,,,,
Test Cases/BDD Cucumber TestCases/VerifyCommitForBugPage,Chrome 74.0.3729.131,,,2019-05-14 17:20:48,2019-05-14 17:22:03,1m - 14.579s,PASSED
"runFeatureFile(""Include/features/BDD Cucumber Tests/Web UI Tests/Bug Details/verifyCommitForBugPage.feature"")",Chrome 74.0.3729.131,,,2019-05-14 17:20:49,2019-05-14 17:22:03,1m - 14.408s,PASSED
,,,,,,,
Test Cases/BDD Cucumber TestCases/VerifyAddingComments,Chrome 74.0.3729.131,,,2019-05-14 17:22:03,2019-05-14 17:22:25,21.743s,PASSED
"runFeatureFile(""Include/features/BDD Cucumber Tests/Web UI Tests/Bug Details/VerifyAddingComments.feature"")",Chrome 74.0.3729.131,,,2019-05-14 17:22:03,2019-05-14 17:22:25,21.566s,PASSED
,,,,,,,
Test Cases/BDD Cucumber TestCases/BasicSearch,Chrome 74.0.3729.131,BasicSearch,,2019-05-14 17:22:25,2019-05-14 17:23:04,39.690s,PASSED
"runFeatureFile(""Include/features/BDD Cucumber Tests/Web UI Tests/Search/BasicSearch.feature"")",Chrome 74.0.3729.131,,,2019-05-14 17:22:25,2019-05-14 17:23:04,39.523s,PASSED
