Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BugPageGeneralTab,Chrome 74.0.3729.131,,,2019-05-06 15:47:32,2019-05-06 15:49:27,1m - 54.881s,FAILED
,,,,,,,
Test Cases/BugPage/verify_commit_for_bugPage,Chrome 74.0.3729.131,,,2019-05-06 15:47:33,2019-05-06 15:48:39,1m - 5.871s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-06 15:47:33,2019-05-06 15:47:36,3.123s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-06 15:47:36,2019-05-06 15:47:51,14.462s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-06 15:47:51,2019-05-06 15:47:54,3.051s,PASSED
reusable.loginBugZillaUI.login(),Chrome 74.0.3729.131,,,2019-05-06 15:47:54,2019-05-06 15:47:55,0.727s,PASSED
delay(4),Chrome 74.0.3729.131,,,2019-05-06 15:47:55,2019-05-06 15:47:59,4.006s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI Dashboard/span_Dashboard""), 0)",Chrome 74.0.3729.131,,,2019-05-06 15:47:59,2019-05-06 15:47:59,0.095s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Dashboard/input_Edit_search""), 0))",Chrome 74.0.3729.131,,,2019-05-06 15:47:59,2019-05-06 15:48:00,1.343s,PASSED
delay(20),Chrome 74.0.3729.131,,,2019-05-06 15:48:00,2019-05-06 15:48:20,20.006s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI New Bug/label_Bug 255666""), 0))",Chrome 74.0.3729.131,,,2019-05-06 15:48:20,2019-05-06 15:48:20,0.121s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI New Bug/bugInfo_accordion""), 0)",Chrome 74.0.3729.131,,,2019-05-06 15:48:20,2019-05-06 15:48:20,0.026s,PASSED
"isBugInfoAccordionExpanded = getAttribute(findTestObject(""Page_BugsUI New Bug/bugInfo_accordion""), ""aria-expanded"")",Chrome 74.0.3729.131,,,2019-05-06 15:48:20,2019-05-06 15:48:20,0.053s,PASSED
"if (isBugInfoAccordionExpanded.equals(""false""))",Chrome 74.0.3729.131,,,2019-05-06 15:48:20,2019-05-06 15:48:24,3.646s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 15:48:24,2019-05-06 15:48:26,2.005s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI New Bug/div_Bugdetails_updated_success""), 0))",Chrome 74.0.3729.131,,,2019-05-06 15:48:26,2019-05-06 15:48:26,0.142s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-06 15:48:26,2019-05-06 15:48:29,3.005s,PASSED
"aliasName = getAttribute(findTestObject(""Page_BugsUI New Bug/input_BugAlias""), ""value"")",Chrome 74.0.3729.131,,,2019-05-06 15:48:29,2019-05-06 15:48:29,0.089s,PASSED
"if (aliasName.equals(""123Test""))",Chrome 74.0.3729.131,,,2019-05-06 15:48:29,2019-05-06 15:48:29,0.000s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-06 15:48:29,2019-05-06 15:48:32,3.000s,PASSED
"clearText(findTestObject(""Page_BugsUI New Bug/input_BugAlias""))",Chrome 74.0.3729.131,,,2019-05-06 15:48:32,2019-05-06 15:48:32,0.081s,PASSED
"setText(findTestObject(""Page_BugsUI New Bug/input_BugAlias""), ""test987"")",Chrome 74.0.3729.131,,,2019-05-06 15:48:32,2019-05-06 15:48:33,0.170s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-06 15:48:33,2019-05-06 15:48:36,3.003s,PASSED
"if (verifyElementClickable(findTestObject(""Page_BugsUI New Bug/topButton_Commit"")))",Chrome 74.0.3729.131,,,2019-05-06 15:48:36,2019-05-06 15:48:36,0.161s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-06 15:48:36,2019-05-06 15:48:39,3.003s,PASSED
,,,,,,,
Test Cases/BugPage/verify_addingComments,Chrome 74.0.3729.131,,,2019-05-06 15:48:39,2019-05-06 15:49:26,47.783s,FAILED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 15:48:39,2019-05-06 15:48:41,2.002s,PASSED
"scrollToElement(findTestObject(""Page_BugsUI New Bug/select_commentOrder_dropdown""), 0)",Chrome 74.0.3729.131,,,2019-05-06 15:48:41,2019-05-06 15:48:41,0.052s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 15:48:41,2019-05-06 15:48:43,2.004s,PASSED
"setText(findTestObject(""Page_BugsUI New Bug/textarea_Add Comment""), ""Testing comment for Automation"")",Chrome 74.0.3729.131,,,2019-05-06 15:48:43,2019-05-06 15:48:43,0.369s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-06 15:48:43,2019-05-06 15:48:46,3.002s,PASSED
"if (verifyElementClickable(findTestObject(""Page_BugsUI New Bug/bottom_button_Commit"")))",Chrome 74.0.3729.131,,,2019-05-06 15:48:46,2019-05-06 15:48:47,0.158s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 15:48:47,2019-05-06 15:48:49,2.003s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI New Bug/div_Bugdetails_updated_success""), 0))",Chrome 74.0.3729.131,,,2019-05-06 15:48:49,2019-05-06 15:48:49,0.084s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 15:48:49,2019-05-06 15:48:51,2.001s,PASSED
"scrollToElement(findTestObject(""Page_BugsUI New Bug/logs_accordion""), 0)",Chrome 74.0.3729.131,,,2019-05-06 15:48:51,2019-05-06 15:48:51,0.050s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 15:48:51,2019-05-06 15:48:53,2.003s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI New Bug/select_commentOrder_dropdown""), 0))",Chrome 74.0.3729.131,,,2019-05-06 15:48:53,2019-05-06 15:48:53,0.175s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-06 15:48:53,2019-05-06 15:48:55,2.003s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI New Bug/latestComment""), 0)",Chrome 74.0.3729.131,,,2019-05-06 15:48:55,2019-05-06 15:49:26,31.576s,FAILED
